source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers,estimated_copies,price_usd_est,gross_revenue_est_usd,dev_location,primary_genre
steam,10140.0,3D Ultra™ Minigolf Adventures,23 JUL 2009,2009.0,False,3135.0,CLP,,114,Deportes,Wanako Games,Activision,4560,3.3,15048.0,Santiago,Deportes
steam,1029560.0,Bandits,26 JUL 2019,2019.0,False,450.0,CLP,,0,"Acción, Aventura, Indie",Benerot,Benerot,0,0.47368421052631576,0.0,Chile (General),Acción
steam,1034040.0,"Causa, Voices of the Dusk",26 MAY 2021,2021.0,True,0.0,,,0,"Indie, Estrategia, Free to Play",Niebla Games,Niebla Games,0,0.0,0.0,Chile (General),Indie
steam,1035280.0,Stoppa!,15 MAR 2019,2019.0,False,1300.0,CLP,,0,Indie,Michiru Michel Nakamura,Michiru Michel Nakamura,0,1.368421052631579,0.0,Chile (General),Indie
steam,1078140.0,Hijos del Invierno,,,True,0.0,,,0,"Acción, Aventura, Casual, Indie",Dinogorila Creative Lab,Dinogorila Creative Lab,0,0.0,0.0,Chile (General),Acción
steam,1082930.0,The Signifier Director's Cut,15 OCT 2020,2020.0,False,10500.0,CLP,,244,"Aventura, Indie",Playmestudio,Raw Fury,9760,11.052631578947368,107873.6842105263,Valparaíso,Aventura
steam,1101360.0,Rock of Ages 3: Make & Break,21 JUL 2020,2020.0,False,6400.0,CLP,72.0,1167,"Acción, Indie, Carreras, Estrategia","ACE Team, Giant Monkey Robot","Maximum Entertainment, 3goo",46680,6.7368421052631575,314475.7894736842,Santiago,Acción
steam,1129480.0,El Culto,6 NOV 2019,2019.0,True,0.0,,,0,"Aventura, Free to Play, Indie, Rol",Homeworks Studios,Homeworks Studios,0,0.0,0.0,Chile (General),Aventura
steam,1152740.0,Asterminer,Por confirmarse,,False,0.0,,,0,"Casual, Indie",Benerot,Benerot,0,0.0,0.0,Chile (General),Casual
steam,1239080.0,Door Kickers 2: Task Force North,10 FEB 2025,2025.0,False,13000.0,CLP,84.0,11428,"Acción, Indie, Simuladores, Estrategia",KillHouse Games,KillHouse Games,457120,13.68421052631579,6255326.315789473,Chile (General),Acción
steam,1250410.0,Microsoft Flight Simulator (2020) 40th Anniversary Edition,17 AGO 2020,2020.0,False,44990.0,CLP,91.0,67213,Simuladores,Asobo Studio,Xbox Game Studios,2688520,47.357894736842105,127322647.15789473,Chile (General),Simuladores
steam,1305060.0,Virus Blast,5 JUN 2020,2020.0,True,0.0,,,0,"Acción, Casual, Indie, Free to Play",Rooftop Dog,Rooftop Dog,0,0.0,0.0,Chile (General),Acción
steam,1340400.0,Solitaire. Elemental Wizards,9 SEP 2020,2020.0,False,2400.0,CLP,,0,Casual,DigiMight,DigiMight,0,2.526315789473684,0.0,Chile (General),Casual
steam,1350370.0,Daybreak Slam,Por confirmarse,,False,0.0,,,0,"Acción, Casual, Indie",AOne Games ,AOne Games ,0,0.0,0.0,Santiago,Acción
steam,1367590.0,Tormented Souls,26 AGO 2021,2021.0,False,10500.0,CLP,75.0,5707,"Acción, Aventura","Dual Effect, Abstract Digital",PQube,228280,11.052631578947368,2523094.736842105,Santiago,Acción
steam,1411740.0,Urbek City Builder,13 JUL 2022,2022.0,False,7800.0,CLP,,1625,"Indie, Simuladores, Estrategia",Fridus,RockGame S.A.,65000,8.210526315789474,533684.2105263158,Chile (General),Indie
steam,1430680.0,Clash: Artifacts of Chaos,9 MAR 2023,2023.0,False,15500.0,CLP,,1058,"Acción, Aventura, Indie",ACE Team,Nacon,42320,16.31578947368421,690484.2105263157,Santiago,Acción
steam,1546760.0,Scarleth,20 MAY 2025,2025.0,False,8300.0,CLP,,0,"Acción, Aventura, Indie, Rol",evenyth,evenyth,0,8.736842105263158,0.0,Chile (General),Acción
steam,1721170.0,What Lies in the Multiverse,4 MAR 2022,2022.0,False,8300.0,CLP,,495,"Aventura, Casual, Indie","Studio Voyager, IguanaBee","Untold Tales, Doyoyo Games",19800,8.736842105263158,172989.4736842105,Santiago,Aventura
steam,1736620.0,The Eightfold Path,23 AGO 2024,2024.0,False,9990.0,CLP,,0,"Aventura, Indie",Friendly Llama,Starseed Forest,0,10.51578947368421,0.0,Chile (General),Aventura
steam,1743470.0,Dirty Wars: September 11,12 SEP 2023,2023.0,False,3000.0,CLP,,0,"Acción, Aventura, Indie, Estrategia","Uglycat Studios, Sudaka Games",Uglycat Studios,0,3.1578947368421053,0.0,Chile (General),Acción
steam,1774060.0,Gematombe,28 ABR 2023,2023.0,False,8300.0,CLP,,0,"Casual, Indie, Estrategia",Route 5 Games,Ratalaika Games S.L.,0,8.736842105263158,0.0,Chile (General),Casual
steam,1860150.0,Operation8 Project,16 JUN 2022,2022.0,True,0.0,,,0,"Acción, Free to Play, Multijugador masivo",Benzitczo Studio,Lovatto Studio,0,0.0,0.0,Chile (General),Acción
steam,1902060.0,Hoverise Rebellion,Próximamente,,False,0.0,,,0,"Acción, Indie, Estrategia",Zeak Games,Zeak Games,0,0.0,0.0,Chile (General),Acción
steam,1903280.0,Heroes of The Sacred Tree,10 MAR 2022,2022.0,False,6400.0,CLP,,0,"Acción, Aventura, Indie",Animas Games,Animas Games,0,6.7368421052631575,0.0,Chile (General),Acción
steam,1967150.0,Re:Agent,Próximamente,,False,0.0,,,0,"Acción, Aventura, Indie",Time Hunters Studios,Time Hunters Studios,0,0.0,0.0,Santiago,Acción
steam,1985980.0,Genimas: Life reborn,Próximamente,,False,0.0,,,0,"Acción, Aventura, Indie, Rol, Acceso anticipado",Trialis Studios,Trialis Studios,0,0.0,0.0,Chile (General),Acción
steam,2091810.0,Logic Circuit: Marble Puzzle,3 AGO 2022,2022.0,False,4500.0,CLP,,0,"Casual, Indie","Chocolate Beast, TBM SP",TBM SP,0,4.7368421052631575,0.0,Chile (General),Casual
steam,2097890.0,Skull Island: Rise of Kong,17 OCT 2023,2023.0,False,19000.0,CLP,,137,"Acción, Aventura",IguanaBee,GameMill Entertainment,5480,20.0,109600.0,Santiago,Acción
steam,2119010.0,Jet & Sky,Por confirmarse,,False,0.0,,,0,"Acción, Indie, Deportes",Sudaka Games,Starseed Forest,0,0.0,0.0,Chile (General),Acción
steam,215690.0,Zeno Clash 2,30 ABR 2013,2013.0,False,6400.0,CLP,,709,"Acción, Indie",ACE Team,SEGA,28360,6.7368421052631575,191056.84210526315,Santiago,Acción
steam,22200.0,Zeno Clash,21 ABR 2009,2009.0,False,4000.0,CLP,77.0,2094,"Acción, Indie",ACE Team,ACE Team,83760,4.2105263157894735,352673.6842105263,Santiago,Acción
steam,22230.0,Rock of Ages,7 SEP 2011,2011.0,False,4400.0,CLP,74.0,3209,"Acción, Indie, Carreras, Estrategia",ACE Team,SEGA,128360,4.631578947368421,594509.4736842106,Santiago,Acción
steam,2223460.0,Last Eclipse,25 MAR 2025,2025.0,False,7300.0,CLP,,0,"Acción, Indie",Animas Games,Animas Games,0,7.684210526315789,0.0,Chile (General),Acción
steam,2233420.0,Sinner's Tavern,Por confirmarse,,False,0.0,,,0,"Acción, Aventura, Indie",WoolCat Games,WoolCat Games,0,0.0,0.0,Chile (General),Acción
steam,2242440.0,SPELLRAIN,Por confirmarse,,False,0.0,,,0,"Acción, Aventura, Indie, Rol",Slime Team,Slime Team,0,0.0,0.0,Chile (General),Acción
steam,2301240.0,Mutter,Próximamente,,False,0.0,,,0,"Acción, Aventura, Indie",DeadlyCrow Games,DeadlyCrow Games,0,0.0,0.0,Chile (General),Acción
steam,2309880.0,ZOMBI ROCKSTAR,21 MAY 2023,2023.0,False,5750.0,CLP,,0,"Acción, Aventura, Casual, Indie",SoulBattery,MUVIRON SpA,0,6.052631578947368,0.0,Chile (General),Acción
steam,2363570.0,Rise of Jericho,8 JUN 2023,2023.0,False,7990.0,CLP,,0,Estrategia,Sudaka Games,Starseed Forest,0,8.410526315789474,0.0,Chile (General),Estrategia
steam,2373720.0,Mix the Forgotten,Por confirmarse,,False,0.0,,,0,"Acción, Aventura, Indie, Simuladores",Abstract Digital,Abstract Digital,0,0.0,0.0,Santiago,Acción
steam,2424230.0,Locuras en el Banaverso,8 NOV 2024,2024.0,False,7000.0,CLP,,0,"Acción, Aventura, Casual, Indie",Newvicon Ltd,Newvicon Ltd,0,7.368421052631579,0.0,Chile (General),Acción
steam,2432860.0,MENACE,5 FEB 2026,2026.0,False,14925.0,CLP,,4048,"Rol, Simuladores, Estrategia, Acceso anticipado",Overhype Studios,Hooded Horse,161920,15.710526315789474,2543848.4210526315,Chile (General),Rol
steam,2464280.0,Tormented Souls 2,23 OCT 2025,2025.0,False,15500.0,CLP,78.0,1329,"Acción, Aventura",Dual Effect,PQube,53160,16.31578947368421,867347.3684210526,Santiago,Acción
steam,2488940.0,Afterlife Gladiator,5 NOV 2024,2024.0,False,5750.0,CLP,,0,"Indie, Rol",BakarLabs,BakarLabs,0,6.052631578947368,0.0,Chile (General),Indie
steam,2521510.0,PartySaur: Dino Mayhem,Próximamente,,False,0.0,,,0,"Acción, Casual, Indie, Acceso anticipado",DireGrin Studio,DireGrin Studio,0,0.0,0.0,Chile (General),Acción
steam,255070.0,Abyss Odyssey,15 JUL 2014,2014.0,False,6400.0,CLP,69.0,1265,"Acción, Aventura, Indie",ACE Team,SEGA,50600,6.7368421052631575,340884.2105263158,Santiago,Acción
steam,2697180.0,Ink of Fate,Próximamente,,False,0.0,,,0,"Aventura, Indie",Cloud Creatures Studios,Cloud Creatures Studios,0,0.0,0.0,Chile (General),Aventura
steam,2716400.0,The Rise of the Golden Idol,12 NOV 2024,2024.0,False,10500.0,CLP,,3390,"Aventura, Indie",Color Gray Games,Playstack,135600,11.052631578947368,1498736.8421052631,Chile (General),Aventura
steam,2722400.0,Orphans,18 ABR 2025,2025.0,False,9200.0,CLP,,0,"Aventura, Indie",Infinity Gears Studios,Infinity Gears Studios,0,9.68421052631579,0.0,Chile (General),Aventura
steam,2844350.0,Cosmic Horror Tales: Roots Below,Por confirmarse,,False,0.0,,,0,"Acción, Indie, Rol",Moss Tower Studio,Moss Tower Studio,0,0.0,0.0,Chile (General),Acción
steam,2861080.0,Haunted Paws,Por confirmarse,,False,0.0,,,0,"Aventura, Indie",LazyFlock,LazyFlock,0,0.0,0.0,Chile (General),Aventura
steam,2895640.0,Gallery of Shadows - Lycans Returns,Próximamente,,False,0.0,,,0,"Acción, Aventura, Indie, Simuladores",Little Kings,Little Kings,0,0.0,0.0,Chile (General),Acción
steam,2990920.0,"Stop, Pawssport Check",Por confirmarse,,False,0.0,,,0,"Acción, Casual, Indie, Simuladores",Mezcla Estudio,Mezcla Estudio,0,0.0,0.0,Chile (General),Acción
steam,306260.0,Selknam Defense,25 JUL 2014,2014.0,False,3000.0,CLP,,0,"Acción, Indie, Estrategia",,,0,3.1578947368421053,0.0,Chile (General),Acción
steam,3072400.0,Arm Around!,Por confirmarse,,False,0.0,,,0,"Acción, Aventura, Indie, Simuladores",RAM CANDY,RAM CANDY,0,0.0,0.0,Chile (General),Acción
steam,3074110.0,The Rangers In The South,9 ENE 2025,2025.0,False,3900.0,CLP,,758,"Acción, Indie, Rol",DPA Studios,DPA Studios,30320,4.105263157894737,124471.57894736843,Chile (General),Acción
steam,3219410.0,The Trolley Solution,12 SEP 2025,2025.0,False,3000.0,CLP,,465,"Acción, Aventura, Casual, Indie",byDanDans,The Bueno Interactive,18600,3.1578947368421053,58736.84210526316,Chile (General),Acción
steam,3327880.0,Leap Galaxy,2026,2026.0,False,0.0,,,0,"Acción, Indie, Carreras",Peach in Tune,Peach in Tune,0,0.0,0.0,Chile (General),Acción
steam,3352560.0,Night in Delirium,Próximamente,,False,0.0,,,0,"Indie, Simuladores",Grupo Trenza,Grupo Trenza,0,0.0,0.0,Chile (General),Indie
steam,3377480.0,Tiles in Time,24 MAR 2025,2025.0,False,5200.0,CLP,,0,"Casual, Indie, Estrategia",Tyrant Team 7,Tyrant Team 7,0,5.473684210526316,0.0,Chile (General),Casual
steam,3403100.0,Dungeon Shifters,5 AGO 2025,2025.0,False,3000.0,CLP,,0,"Acción, Aventura, Casual, Indie, Rol, Acceso anticipado",Shifting Realms,MUVIRON SpA,0,3.1578947368421053,0.0,Chile (General),Acción
steam,3479650.0,El Pasante Elementalista,8 FEB 2025,2025.0,True,0.0,,,0,"Aventura, Indie, Free to Play","Gustavo A. Ruiz González, Claudio Pastene Sandoval","Gustavo A. Ruiz González, Claudio Pastene Sandoval",0,0.0,0.0,Chile (General),Aventura
steam,3549280.0,Bulbo's Belief System,Próximamente,,False,0.0,,,0,"Acción, Casual, Indie",Abstract Digital,Abstract Digital,0,0.0,0.0,Santiago,Acción
steam,3571850.0,Selve,Próximamente,,False,0.0,,,0,"Aventura, Indie","Nicolas Frois, Distant Point",Distant Point,0,0.0,0.0,Chile (General),Aventura
steam,3583290.0,Oriontis,Próximamente,,False,0.0,,,0,"Indie, Simuladores, Estrategia",Beacon 55,Beacon 55,0,0.0,0.0,Chile (General),Indie
steam,3729560.0,Isekai Guild,Por confirmarse,,False,0.0,,,0,"Aventura, Indie, Rol, Simuladores, Estrategia",Time Hunters SpA,Time Hunters SpA,0,0.0,0.0,Santiago,Aventura
steam,3740690.0,Hybrid Blood,1 SEP 2025,2025.0,False,9800.0,CLP,,0,"Acción, Aventura, Indie, Rol, Acceso anticipado",Huggman,Huggman,0,10.31578947368421,0.0,Chile (General),Acción
steam,3781770.0,"Scalpel, Please!",Próximamente,,False,0.0,,,0,"Casual, Indie, Simuladores",WoolCat Games,WoolCat Games,0,0.0,0.0,Chile (General),Casual
steam,3843120.0,Valiants: Arena,16 OCT 2025,2025.0,True,0.0,,,0,"Casual, Indie, Estrategia, Free to Play, Acceso anticipado",Vortrius,Vortrius,0,0.0,0.0,Chile (General),Casual
steam,3911490.0,Forge the Fates,Próximamente,,False,0.0,,,0,"Indie, Estrategia",Chaos Logic Studios,Surefire.Games,0,0.0,0.0,Chile (General),Indie
steam,3920520.0,Mecha Survivors - Early Access,20 AGO 2025,2025.0,False,1900.0,CLP,,0,"Acción, Indie, Rol, Simuladores","Lowie Games SpA, Time Hunters SpA",Lowie Games SpA,0,2.0,0.0,Santiago,Acción
steam,3982510.0,Avoidthis,23 OCT 2025,2025.0,False,1900.0,CLP,,0,Indie,avoidthis_games,avoidthis_games,0,2.0,0.0,Chile (General),Indie
steam,3997250.0,PaRoKuuu,Por confirmarse,,False,0.0,,,0,"Casual, Indie, Estrategia",Xera Studios,Xera Studios,0,0.0,0.0,Chile (General),Casual
steam,4007170.0,SAI: Servicio de Auxilio Inmediato,Próximamente,,False,0.0,,,0,"Indie, Rol",Ando Ido Studio,Ando Ido Studio,0,0.0,0.0,Chile (General),Indie
steam,4079810.0,Don Pepe y sus globos,2026,2026.0,False,0.0,,,0,"Acción, Indie",Ibis Interactive,ibis interactive,0,0.0,0.0,Chile (General),Acción
steam,4094120.0,Microlandia,3 DIC 2025,2025.0,False,4200.0,CLP,,0,Simuladores,Information Superhighway Games,Information Superhighway Games,0,4.421052631578948,0.0,Chile (General),Simuladores
steam,4094820.0,Space Evolver,8 SEP 2026,2026.0,False,0.0,,,0,"Indie, Rol, Estrategia",JoaKing,JoaKing,0,0.0,0.0,Chile (General),Indie
steam,4149750.0,Stick Out!,febrero de 2026,2026.0,False,0.0,,,0,"Acción, Aventura, Indie",ParallaxFox,ParallaxFox,0,0.0,0.0,Chile (General),Acción
steam,4160010.0,Chromatic Battles,febrero de 2026,2026.0,False,0.0,,,0,"Acción, Casual, Indie, Estrategia",NightWave Games,NightWave Games,0,0.0,0.0,Chile (General),Acción
steam,434460.0,Rock of Ages 2: Bigger & Boulder™,28 AGO 2017,2017.0,False,6400.0,CLP,,2656,"Acción, Indie, Carreras, Estrategia",ACE Team,SEGA,106240,6.7368421052631575,715722.1052631579,Santiago,Acción
steam,457260.0,Omen of Sorrow,23 MAR 2023,2023.0,False,3960.0,CLP,,0,"Acción, Indie",AOne Games,Eastasiasoft Limited,0,4.168421052631579,0.0,Santiago,Acción
steam,510540.0,Long Gone Days,10 OCT 2023,2023.0,False,15618.0,CLP,,454,"Aventura, Indie, Rol",This I Dreamt,Serenity Forge,18160,16.44,298550.4,Chile (General),Aventura
steam,567980.0,Santa Rockstar,13 DIC 2016,2016.0,False,3100.0,CLP,,255,"Casual, Indie",Bekho Team,Volens Nolens Games,10200,3.263157894736842,33284.21052631579,Chile (General),Casual
steam,770760.0,Dungeon of the Forgotten King,2026,2026.0,False,0.0,,,0,"Indie, Rol",Crazy Goat Studios,Crazy Goat Studios,0,0.0,0.0,Chile (General),Indie
steam,776930.0,Omnibion War,6 FEB 2020,2020.0,False,4200.0,CLP,,0,"Acción, Indie",Crazy Bullet,Fulqrum Publishing,0,4.421052631578948,0.0,Chile (General),Acción
steam,863460.0,Cyber Ops,21 MAY 2020,2020.0,False,6400.0,CLP,,106,"Acción, Indie, Simuladores, Estrategia",Octeto Studios,Games Operators,4240,6.7368421052631575,28564.210526315786,Santiago,Acción
steam,865680.0,The Eternal Cylinder,13 OCT 2022,2022.0,False,13000.0,CLP,79.0,1009,"Acción, Aventura",ACE Team,Good Shepherd Entertainment,40360,13.68421052631579,552294.7368421053,Santiago,Acción
steam,906480.0,Defenders of Ekron - Definitive Edition,7 AGO 2018,2018.0,False,6400.0,CLP,,0,"Acción, Aventura, Indie",In Vitro Games,In Vitro Games,0,6.7368421052631575,0.0,Chile (General),Acción
itch,,This is Chile - Psychiatric edition,,,True,0.0,USD,,0,Educational,Predeterminado,Self-published,0,0.0,0.0,Chile (General),Educational
itch,,CoÃ±aripe,,,True,0.0,USD,,0,Fighting,Crismoonster,Self-published,0,0.0,0.0,Chile (General),Fighting
itch,,DINA,,,True,0.0,USD,,0,Unknown,Khoser,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Froggo Qlero,,,True,0.0,USD,,0,Adventure,ElLimitador,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,Quest for the Epic Treasure,,,True,0.0,USD,,0,Platformer,orenjikun,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,Nada hacia presagiar,,,True,0.0,USD,,0,Adventure,iddgamelabs,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,Huemulixir,,,True,0.0,USD,,0,Interactive Fiction,CLSource,Self-published,0,0.0,0.0,Chile (General),Interactive Fiction
itch,,Age of Origins - Prototype,,,True,0.0,USD,,0,Educational,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Chile (General),Educational
itch,,Super Happy Jump,,,True,0.0,USD,,0,Platformer,Elvis Brevi,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,Erden - Classic RPG (DEMO),,,True,0.0,USD,,0,Role Playing,XeloSky,Self-published,0,0.0,0.0,Chile (General),Role Playing
itch,,Molly Inc (Prototype),,,True,0.0,USD,,0,Adventure,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,Presidential Fighter,,,True,0.0,USD,,0,Unknown,imkrut,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Kito,,,True,0.0,USD,,0,Platformer,Krypth,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,Portonazo,,,True,0.0,USD,,0,Fighting,Victor Rosas,Self-published,0,0.0,0.0,Chile (General),Fighting
itch,,FireFighters,,,True,0.0,USD,,0,Strategy,CÃ©sar Jara,Self-published,0,0.0,0.0,Chile (General),Strategy
itch,,Dismal Day,,,True,0.0,USD,,0,Survival,Phyro,Self-published,0,0.0,0.0,Chile (General),Survival
itch,,Portales: El peso de la noche,,,True,0.0,USD,,0,Role Playing,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Chile (General),Role Playing
itch,,ScapeFromLatam,,,True,0.0,USD,,0,Unknown,Rancucho,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,CaleidoMar: La Jaiba,,,True,0.0,USD,,0,Simulation,pulpaulaa,Self-published,0,0.0,0.0,Chile (General),Simulation
itch,,Zogar,,,True,0.0,USD,,0,Platformer,Avgrat,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,STGO SK8 (Santiago Skate),,,True,0.0,USD,,0,Sports,Disketx,Self-published,0,0.0,0.0,Chile (General),Sports
itch,,MaldiciÃ³n del Alicanto,,,True,0.0,USD,,0,Survival,MDL74FSRE1Hz,Self-published,0,0.0,0.0,Chile (General),Survival
itch,,Michi come back home,,,True,0.0,USD,,0,Adventure,cpher,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,The Longest Completo,,,True,0.0,USD,,0,Unknown,[Random Adjective],Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Churro Maniacs,,,True,0.0,USD,,0,Simulation,FlammyGameDev,Self-published,0,0.0,0.0,Chile (General),Simulation
itch,,Memoria Fragmentada,,,True,0.0,USD,,0,Unknown,FlammyGameDev,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Pintamonos,,,True,0.0,USD,,0,Visual Novel,Diegowned,Self-published,0,0.0,0.0,Chile (General),Visual Novel
itch,,Jueguito para una gamejam de la U xd,,,True,0.0,USD,,0,Unknown,Chucruu,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,One Button Prototype,,,True,0.0,USD,,0,Platformer,Elvis Brevi,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,Retro Penal,,,True,0.0,USD,,0,Sports,Elvis Brevi,Self-published,0,0.0,0.0,Chile (General),Sports
itch,,Que No Caiga,,,True,0.0,USD,,0,Sports,Elvis Brevi,Self-published,0,0.0,0.0,Chile (General),Sports
itch,,Suika_CL,,,True,0.0,USD,,0,Unknown,FlammyGameDev,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Candy Party,,,True,0.0,USD,,0,Platformer,KaitoArtz,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,Finding Gustavo,,,True,0.0,USD,,0,Interactive Fiction,fiala,Self-published,0,0.0,0.0,Chile (General),Interactive Fiction
itch,,BODO -QUEST,,,True,0.0,USD,,0,Adventure,cbasensei,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,Magic Chef,,,True,0.0,USD,,0,Simulation,Fire Forge Developers,Self-published,0,0.0,0.0,Chile (General),Simulation
itch,,Shadow Past,,,True,0.0,USD,,0,Platformer,Hv Game Studio,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,FUCK! I LOST ALL MY WEED AND NOW I HAVE TO GET IT BACK OR ELSE THE WEED DEMON WILL STEAL MY SOUL: The Game: The Movie,,,True,0.0,USD,,0,Unknown,*insert name*,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,"""Quiero ser un mito""",,,True,0.0,USD,,0,Visual Novel,Reliash,Self-published,0,0.0,0.0,Chile (General),Visual Novel
itch,,What would you do?,,,True,0.0,USD,,0,Interactive Fiction,Sara01,Self-published,0,0.0,0.0,Chile (General),Interactive Fiction
itch,,La Iglesia de la Noche,,,True,0.0,USD,,0,Unknown,Throndev,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Hirokae,,,True,0.0,USD,,0,Adventure,AkiJaline,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,La sociedad de la nieve,,,True,0.0,USD,,0,Survival,marcelozarate,Self-published,0,0.0,0.0,Chile (General),Survival
itch,,La Conquista,,,True,0.0,USD,,0,Action,Forxiga,Self-published,0,0.0,0.0,Chile (General),Action
itch,,CHOLITO,,,True,0.0,USD,,0,Simulation,pablocelva,Self-published,0,0.0,0.0,Chile (General),Simulation
itch,,El Trompo y el PingÃ¼ino,,,True,0.0,USD,,0,Platformer,b_28282,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,CapitÃ¡n Arturo,,,True,0.0,USD,,0,Unknown,Route5Games,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Cherry Y La FusiÃ³n Prohibida,,,True,0.0,USD,,0,Adventure,Nikozuki,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,Walter is Coming,,,True,0.0,USD,,0,Adventure,Misulas,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,Carnivile,,,True,0.0,USD,,0,Unknown,VangelPix,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Dreamnesthesia,,,True,0.0,USD,,0,Unknown,Merge Branch Games,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Negro Matapacos,,,True,0.0,USD,,0,Action,Nemoris Games,Self-published,0,0.0,0.0,Chile (General),Action
itch,,Battle Power Ultra,,,True,0.0,USD,,0,Action,Juan Pablo Vargas Seguel (Champol),Self-published,0,0.0,0.0,Chile (General),Action
itch,,Corrupted CHICKEN Soul,,,True,0.0,USD,,0,Platformer,alvaromorenou,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,VamosÂ³ a la marcha,,,True,0.0,USD,,0,Action,BMouse,Self-published,0,0.0,0.0,Chile (General),Action
itch,,TacosTacosTacos,,,True,0.0,USD,,0,Unknown,inmortalrobin,Self-published,0,0.0,0.0,Chile (General),Unknown
itch,,Manuel Rodriguez: Operaciones Especiales (VersiÃ³n PC),,,True,0.0,USD,,0,Educational,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Chile (General),Educational
itch,,Landschaften,,,True,0.0,USD,,0,Adventure,GaboTroncosoDev,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,The Operator Game Jam 2020,,,True,0.0,USD,,0,Action,chelosky,Self-published,0,0.0,0.0,Chile (General),Action
itch,,Entropy,,,True,0.0,USD,,0,Simulation,vranco.3gp,Self-published,0,0.0,0.0,Chile (General),Simulation
itch,,El Rey del Volantin,,,True,0.0,USD,,0,Platformer,Krypth,Self-published,0,0.0,0.0,Chile (General),Platformer
itch,,Graffiti Run,,,True,0.0,USD,,0,Action,StivArts,Self-published,0,0.0,0.0,Chile (General),Action
itch,,Informe Zenteno,,,True,0.0,USD,,0,Adventure,Dreamhouse Games,Self-published,0,0.0,0.0,Chile (General),Adventure
itch,,ArmonÃ­a,,,True,0.0,USD,,0,Visual Novel,m1up,Self-published,0,0.0,0.0,Chile (General),Visual Novel
itch,,Pancito Simulator: Breadtastic Love Story,,,True,0.0,USD,,0,Visual Novel,Pancito Simulator Team,Self-published,0,0.0,0.0,Chile (General),Visual Novel
itch,,Roboto Mega Force Trio,,,True,0.0,USD,,0,Platformer,lovvyvoy,Self-published,0,0.0,0.0,Chile (General),Platformer
